   Elevation of diffraction waves
 Wave Number:   0.500   Wave Freq.:   1.505
    2.4803  0.6646    0.32467E+00 -0.34201E+00
    2.6256  0.7035    0.32468E+00 -0.34201E+00
    2.6949  0.3548    0.33555E+00 -0.35363E+00
    2.7182  0.0000    0.33923E+00 -0.35751E+00
    2.5678  0.0000    0.33923E+00 -0.35751E+00
    2.2238  1.2839    0.28357E+00 -0.29577E+00
    2.3540  1.3591    0.28356E+00 -0.29577E+00
    2.5113  1.0402    0.30709E+00 -0.32269E+00
    1.8157  1.8157    0.22311E+00 -0.22001E+00
    1.9220  1.9220    0.22311E+00 -0.22001E+00
    2.1565  1.6547    0.25516E+00 -0.26144E+00
    1.2839  2.2238    0.15368E+00 -0.11792E+00
    1.3591  2.3540    0.15369E+00 -0.11793E+00
    1.6547  2.1565    0.18880E+00 -0.17195E+00
    0.6646  2.4803    0.86604E-01  0.44182E-02
    0.7035  2.6256    0.86601E-01  0.44241E-02
    1.0402  2.5113    0.11918E+00 -0.58780E-01
    0.0000  2.5678    0.31433E-01  0.13796E+00
    0.0000  2.7182    0.31433E-01  0.13796E+00
    0.3548  2.6949    0.57066E-01  0.70451E-01
    2.7737  0.7432    0.32468E+00 -0.34201E+00
    2.9218  0.7829    0.32467E+00 -0.34201E+00
    2.9990  0.3948    0.33555E+00 -0.35363E+00
    3.0249  0.0000    0.33923E+00 -0.35751E+00
    2.8716  0.0000    0.33923E+00 -0.35751E+00
    2.4868  1.4358    0.28356E+00 -0.29576E+00
    2.6197  1.5125    0.28356E+00 -0.29577E+00
    2.7947  1.1576    0.30709E+00 -0.32269E+00
    2.0305  2.0305    0.22311E+00 -0.22001E+00
    2.1389  2.1389    0.22311E+00 -0.22001E+00
    2.3998  1.8415    0.25515E+00 -0.26143E+00
    1.4358  2.4868    0.15369E+00 -0.11793E+00
    1.5125  2.6197    0.15369E+00 -0.11793E+00
    1.8415  2.3998    0.18880E+00 -0.17196E+00
