   Elevation of total waves
 Wave Number:   0.500   Wave Freq.:   1.505
    0.9251  2.2334   -0.77574E+00 -0.50501E+00
    0.0000  2.2700   -0.96857E+00  0.13796E+00
    0.0000  2.4175   -0.96857E+00  0.13796E+00
    0.3155  2.3968   -0.93052E+00 -0.86635E-01
    2.4803  0.6646    0.20144E-04 -0.12878E+01
    2.6256  0.7035    0.69532E-01 -0.13089E+01
    2.6949  0.3548    0.11406E+00 -0.13288E+01
    2.7182  0.0000    0.12911E+00 -0.13352E+01
    2.5678  0.0000    0.56255E-01 -0.13166E+01
    2.2238  1.2839   -0.15939E+00 -0.11923E+01
    2.3540  1.3591   -0.10013E+00 -0.12192E+01
    2.5113  1.0402   -0.28695E-02 -0.12734E+01
    1.8157  1.8157   -0.39234E+00 -0.10082E+01
    1.9220  1.9220   -0.34959E+00 -0.10398E+01
    2.1565  1.6547   -0.21771E+00 -0.11426E+01
    1.2839  2.2238   -0.64725E+00 -0.71668E+00
    1.3591  2.3540   -0.62417E+00 -0.74637E+00
    1.6547  2.1565   -0.48803E+00 -0.90809E+00
    0.6646  2.4803   -0.85869E+00 -0.32180E+00
    0.7035  2.6256   -0.85217E+00 -0.34012E+00
    1.0402  2.5113   -0.74859E+00 -0.55575E+00
    0.0000  2.5678   -0.96857E+00  0.13796E+00
    0.0000  2.7182   -0.96857E+00  0.13796E+00
    0.3548  2.6949   -0.92724E+00 -0.10602E+00
    2.7737  0.7432    0.14176E+00 -0.13251E+01
    2.9218  0.7829    0.21500E+00 -0.13360E+01
    2.9990  0.3948    0.26432E+00 -0.13511E+01
    3.0249  0.0000    0.28092E+00 -0.13558E+01
    2.8716  0.0000    0.20465E+00 -0.13484E+01
    2.4868  1.4358   -0.38016E-01 -0.12426E+01
    2.6197  1.5125    0.25570E-01 -0.12619E+01
    2.7947  1.1576    0.13451E+00 -0.13077E+01
    2.0305  2.0305   -0.30430E+00 -0.10696E+01
    2.1389  2.1389   -0.25750E+00 -0.10969E+01
    2.3998  1.8415   -0.10730E+00 -0.11934E+01
    1.4358  2.4868   -0.59950E+00 -0.77573E+00
    1.5125  2.6197   -0.57373E+00 -0.80412E+00
    1.8415  2.3998   -0.41642E+00 -0.96802E+00
    0.7432  2.7737   -0.84515E+00 -0.35869E+00
    0.7829  2.9218   -0.83775E+00 -0.37711E+00
    1.1576  2.7947   -0.71794E+00 -0.60580E+00
    0.0000  2.8716   -0.96857E+00  0.13796E+00
    0.0000  3.0249   -0.96857E+00  0.13796E+00
    0.3948  2.9990   -0.92352E+00 -0.12566E+00
    3.0730  0.8234    0.29039E+00 -0.13414E+01
    3.2241  0.8639    0.36592E+00 -0.13412E+01
    3.3092  0.4357    0.41926E+00 -0.13501E+01
    3.3378  0.0000    0.43718E+00 -0.13527E+01
    3.1814  0.0000    0.35913E+00 -0.13573E+01
    2.7551  1.5907    0.91517E-01 -0.12771E+01
    2.8906  1.6689    0.15840E+00 -0.12879E+01
    3.0837  1.2773    0.27814E+00 -0.13223E+01
    2.2496  2.2496   -0.20825E+00 -0.11222E+01
    2.3602  2.3602   -0.15773E+00 -0.11447E+01
    2.6481  2.0319    0.10910E-01 -0.12312E+01
    1.5907  2.7551   -0.54635E+00 -0.83204E+00
    1.6689  2.8906   -0.51790E+00 -0.85885E+00
    2.0319  2.6481   -0.33802E+00 -0.10219E+01
    0.8234  3.0730   -0.82984E+00 -0.39575E+00
    0.8639  3.2241   -0.82155E+00 -0.41422E+00
    1.2773  3.0837   -0.68372E+00 -0.65489E+00
    0.0000  3.1814   -0.96857E+00  0.13796E+00
    0.0000  3.3378   -0.96857E+00  0.13796E+00
    0.4357  3.3092   -0.91930E+00 -0.14568E+00
