0
     164    533    553    1
1  0  0.00  0.00  0.00
1      1     -1.0000      0.0000       -1.0000  
2      1     -0.9559      0.2938       -1.0000  
3      1     -0.8138      0.5811       -1.0000  
4      1     -0.5811      0.8138       -1.0000  
5      1     -0.2938      0.9559       -1.0000  
6      1     0.0000       1.0000       -1.0000  
7      1     0.0000       0.0000       -1.0000  
8      1     -0.1667      0.0000       -1.0000  
9      1     -0.3333      0.0000       -1.0000  
10     1     -0.5000      0.0000       -1.0000  
11     1     -0.6667      0.0000       -1.0000  
12     1     -0.8333      0.0000       -1.0000  
13     1     0.0000       0.8000       -1.0000  
14     1     0.0000       0.6000       -1.0000  
15     1     0.0000       0.4000       -1.0000  
16     1     0.0000       0.2000       -1.0000  
17     1     -0.4538      0.2845       -1.0000  
18     1     -0.4634      0.1505       -1.0000  
19     1     -0.5304      0.3522       -1.0000  
20     1     -0.6549      0.4577       -1.0000  
21     1     -0.3243      0.3058       -1.0000  
22     1     -0.1711      0.3542       -1.0000  
23     1     -0.1649      0.1786       -1.0000  
24     1     -0.3216      0.1592       -1.0000  
25     1     -0.5988      0.1777       -1.0000  
26     1     -0.7555      0.2272       -1.0000  
27     1     -0.4556      0.6047       -1.0000  
28     1     -0.2361      0.7231       -1.0000  
29     1     -0.3712      0.4437       -1.0000  
30     1     -0.1947      0.5307       -1.0000  
31     1     1.0000       0.0000       -1.0000  
32     1     0.9559       0.2938       -1.0000  
33     1     0.8138       0.5811       -1.0000  
34     1     0.5811       0.8138       -1.0000  
35     1     0.2938       0.9559       -1.0000  
36     1     0.1667       0.0000       -1.0000  
37     1     0.3333       0.0000       -1.0000  
38     1     0.5000       0.0000       -1.0000  
39     1     0.6667       0.0000       -1.0000  
40     1     0.8333       0.0000       -1.0000  
41     1     0.4538       0.2845       -1.0000  
42     1     0.4634       0.1505       -1.0000  
43     1     0.5304       0.3522       -1.0000  
44     1     0.6549       0.4577       -1.0000  
45     1     0.3243       0.3058       -1.0000  
46     1     0.1711       0.3542       -1.0000  
47     1     0.1649       0.1786       -1.0000  
48     1     0.3216       0.1592       -1.0000  
49     1     0.5988       0.1777       -1.0000  
50     1     0.7555       0.2272       -1.0000  
51     1     0.4556       0.6047       -1.0000  
52     1     0.2361       0.7231       -1.0000  
53     1     0.3712       0.4437       -1.0000  
54     1     0.1947       0.5307       -1.0000  
55     1     -0.9559      -0.2938      -1.0000  
56     1     -0.8138      -0.5811      -1.0000  
57     1     -0.5811      -0.8138      -1.0000  
58     1     -0.2938      -0.9559      -1.0000  
59     1     0.0000       -1.0000      -1.0000  
60     1     0.0000       -0.8000      -1.0000  
61     1     0.0000       -0.6000      -1.0000  
62     1     0.0000       -0.4000      -1.0000  
63     1     0.0000       -0.2000      -1.0000  
64     1     -0.4538      -0.2845      -1.0000  
65     1     -0.4634      -0.1505      -1.0000  
66     1     -0.5304      -0.3522      -1.0000  
67     1     -0.6549      -0.4577      -1.0000  
68     1     -0.3243      -0.3058      -1.0000  
69     1     -0.1711      -0.3542      -1.0000  
70     1     -0.1649      -0.1786      -1.0000  
71     1     -0.3216      -0.1592      -1.0000  
72     1     -0.5988      -0.1777      -1.0000  
73     1     -0.7555      -0.2272      -1.0000  
74     1     -0.4556      -0.6047      -1.0000  
75     1     -0.2361      -0.7231      -1.0000  
76     1     -0.3712      -0.4437      -1.0000  
77     1     -0.1947      -0.5307      -1.0000  
78     1     0.9559       -0.2938      -1.0000  
79     1     0.8138       -0.5811      -1.0000  
80     1     0.5811       -0.8138      -1.0000  
81     1     0.2938       -0.9559      -1.0000  
82     1     0.4538       -0.2845      -1.0000  
83     1     0.4634       -0.1505      -1.0000  
84     1     0.5304       -0.3522      -1.0000  
85     1     0.6549       -0.4577      -1.0000  
86     1     0.3243       -0.3058      -1.0000  
87     1     0.1711       -0.3542      -1.0000  
88     1     0.1649       -0.1786      -1.0000  
89     1     0.3216       -0.1592      -1.0000  
90     1     0.5988       -0.1777      -1.0000  
91     1     0.7555       -0.2272      -1.0000  
92     1     0.4556       -0.6047      -1.0000  
93     1     0.2361       -0.7231      -1.0000  
94     1     0.3712       -0.4437      -1.0000  
95     1     0.1947       -0.5307      -1.0000  
96     1     -0.1486      0.9889       -1.0000  
97     1     -0.4432      0.8964       -1.0000  
98     1     -0.7071      0.7071       -1.0000  
99     1     -0.8964      0.4432       -1.0000  
100    1     -0.9889      0.1486       -1.0000  
101    1     0.0000       0.3000       -1.0000  
102    1     -0.0824      0.1893       -1.0000  
103    1     -0.1680      0.2664       -1.0000  
104    1     -0.0856      0.3771       -1.0000  
105    1     0.0000       0.1000       -1.0000  
106    1     -0.0833      0.0000       -1.0000  
107    1     -0.1658      0.0893       -1.0000  
108    1     -0.2433      0.1689       -1.0000  
109    1     -0.3229      0.2325       -1.0000  
110    1     -0.2477      0.3300       -1.0000  
111    1     -0.2500      0.0000       -1.0000  
112    1     -0.3275      0.0796       -1.0000  
113    1     -0.3925      0.1549       -1.0000  
114    1     -0.4586      0.2175       -1.0000  
115    1     -0.3890      0.2951       -1.0000  
116    1     -0.4167      0.0000       -1.0000  
117    1     -0.4817      0.0753       -1.0000  
118    1     -0.5833      0.0000       -1.0000  
119    1     -0.6328      0.0888       -1.0000  
120    1     -0.5311      0.1641       -1.0000  
121    1     -0.7500      0.0000       -1.0000  
122    1     -0.7944      0.1136       -1.0000  
123    1     -0.6772      0.2025       -1.0000  
124    1     -0.9167      0.0000       -1.0000  
125    1     -0.8557      0.2605       -1.0000  
126    1     -0.5646      0.2649       -1.0000  
127    1     -0.4921      0.3183       -1.0000  
128    1     -0.7052      0.3424       -1.0000  
129    1     -0.5927      0.4049       -1.0000  
130    1     -0.7344      0.5194       -1.0000  
131    1     -0.5184      0.7092       -1.0000  
132    1     -0.5552      0.5312       -1.0000  
133    1     -0.2650      0.8395       -1.0000  
134    1     -0.3459      0.6639       -1.0000  
135    1     0.0000       0.9000       -1.0000  
136    1     -0.1181      0.7615       -1.0000  
137    1     -0.4134      0.5242       -1.0000  
138    1     -0.4508      0.3980       -1.0000  
139    1     -0.2154      0.6269       -1.0000  
140    1     -0.2829      0.4872       -1.0000  
141    1     0.0000       0.7000       -1.0000  
142    1     -0.0973      0.5653       -1.0000  
143    1     -0.3477      0.3748       -1.0000  
144    1     -0.1829      0.4424       -1.0000  
145    1     0.0000       0.5000       -1.0000  
146    1     0.1486       0.9889       -1.0000  
147    1     0.4432       0.8964       -1.0000  
148    1     0.7071       0.7071       -1.0000  
149    1     0.8964       0.4432       -1.0000  
150    1     0.9889       0.1486       -1.0000  
151    1     0.0856       0.3771       -1.0000  
152    1     0.1680       0.2664       -1.0000  
153    1     0.0824       0.1893       -1.0000  
154    1     0.1658       0.0893       -1.0000  
155    1     0.0833       0.0000       -1.0000  
156    1     0.2477       0.3300       -1.0000  
157    1     0.3229       0.2325       -1.0000  
158    1     0.2433       0.1689       -1.0000  
159    1     0.3275       0.0796       -1.0000  
160    1     0.2500       0.0000       -1.0000  
161    1     0.3890       0.2951       -1.0000  
162    1     0.4586       0.2175       -1.0000  
163    1     0.3925       0.1549       -1.0000  
164    1     0.4817       0.0753       -1.0000  
165    1     0.4167       0.0000       -1.0000  
166    1     0.5833       0.0000       -1.0000  
167    1     0.5311       0.1641       -1.0000  
168    1     0.6328       0.0888       -1.0000  
169    1     0.7500       0.0000       -1.0000  
170    1     0.6772       0.2025       -1.0000  
171    1     0.7944       0.1136       -1.0000  
172    1     0.9167       0.0000       -1.0000  
173    1     0.8557       0.2605       -1.0000  
174    1     0.4921       0.3183       -1.0000  
175    1     0.5646       0.2649       -1.0000  
176    1     0.5927       0.4049       -1.0000  
177    1     0.7052       0.3424       -1.0000  
178    1     0.7344       0.5194       -1.0000  
179    1     0.5552       0.5312       -1.0000  
180    1     0.5184       0.7092       -1.0000  
181    1     0.3459       0.6639       -1.0000  
182    1     0.2650       0.8395       -1.0000  
183    1     0.1181       0.7615       -1.0000  
184    1     0.4508       0.3980       -1.0000  
185    1     0.4134       0.5242       -1.0000  
186    1     0.2829       0.4872       -1.0000  
187    1     0.2154       0.6269       -1.0000  
188    1     0.0973       0.5653       -1.0000  
189    1     0.3477       0.3748       -1.0000  
190    1     0.1829       0.4424       -1.0000  
191    1     -0.1486      -0.9889      -1.0000  
192    1     -0.4432      -0.8964      -1.0000  
193    1     -0.7071      -0.7071      -1.0000  
194    1     -0.8964      -0.4432      -1.0000  
195    1     -0.9889      -0.1486      -1.0000  
196    1     0.0000       -0.3000      -1.0000  
197    1     -0.0856      -0.3771      -1.0000  
198    1     -0.1680      -0.2664      -1.0000  
199    1     -0.0824      -0.1893      -1.0000  
200    1     0.0000       -0.1000      -1.0000  
201    1     -0.1658      -0.0893      -1.0000  
202    1     -0.2477      -0.3300      -1.0000  
